word phonetic
accountability [ә.kauntә'biliti]
accountable [ә'kauntәbl]
accountant [ә'kauntәnt]
accounting [ә'kauntiŋ]
accredit [ә'kredit]
accreditation [ә.kredi'teiʃәn]
accredited [ә'kreditid]
accretion [æ'kri:ʃәn]
accrue [ә'kru:]
acculturation [ә.kʌltʃә'reiʃәn]
accumulate [ә'kju:mjuleit]
accumulation [ә.kju:mju'leiʃәn]
accuracy ['ækjurәsi]
accurate ['ækjurәt]
accurately ['ækjurәtli]
accusation [ækju:'zeiʃәn]
accuse [ә'kju:z]
accused [ә'kju:zd]
accuser [ә'kju:zә]
accustom [ә'kʌstәm]
accustomed [ә'kʌstәmd]
ace [eis]
ache [eik]
achievable [ә'tʃi:vәbl]
achieve [ә'tʃi:v]
achievement [ә'tʃi:vmәnt]
achiever [ә'tʃi:vә]
aching ['eikiŋ]
acid ['æsid]
acidic [ә'sidik]
acidity [ә'siditi]
acknowledge [әk'nɒlidʒ]
acknowledged [әk'nɒlidʒid]
acknowledgement [әk'nɒlidʒmәnt]
acknowledgment [әk'nɔlidʒmәnt]
acne ['ækni]
acorn ['eikɒ:n]
acoustic [ә'ku:stik]
acquaint [ә'kweint]
acquaintance [ә'kweintәns]
acquiesce [.ækwi'es]
acquiescence [.ækwi'esәns]
acquire [ә'kwaiә]
acquired [ә'kwaiәd]
acquisition [.ækwi'ziʃәn]
acquit [ә'kwit]
acquittal [ә'kwitәl]
acreage ['eikәridʒ]
acrid ['ækrid]
acrobat ['ækrәbæt]
acronym ['ækrәunim]
across [ә'krɒs]
acrylic [ә'krilik]
act [ækt]
acting ['æktiŋ]
action ['ækʃәn]
activate ['æktiveit]
activation [ækti'veiʃәn]
active ['æktiv]
actively ['æktivli]
activism ['æktivizm]
activist ['æktivist]
activity [æk'tiviti]
actor ['æktә]
actress ['æktris]
actual ['æktʃuәl]
actuality [.æktʃu'æliti]
actually ['æktʃuәli]
actuator ['æktʃueitә]
acuity [ә'kju:әti]
acumen [ә'kju:men]
acupuncture ['ækju.pʌŋktʃә]
acute [ә'kju:t]
acutely [ә'kju:tli]
ad [æd]
adage ['ædidʒ]
adamant ['ædәmәnt]
adapt [ә'dæpt]
adaptability [ә.dæptә'biliti]
adaptable [ә'dæptәbl]
adaptation [.ædæp'teiʃәn]
adapter [ә'dæptә]
adaptive [ә'dæptiv]
add [æd]
added ['ædid]
addict [ә'dikt]
addiction [ә'dikʃәn]
addictive [ә'diktiv]
addition [ә'diʃәn]
additional [ә'diʃәnәl]
additive ['æditiv]
address [ә'dres]
adept [ә'dept]
adequacy ['ædikwәsi]
adequate ['ædikwәt]
adequately ['ædikwәtli]
adhere [әd'hiә]
adherence [әd'hiәrәns]
adherent [әd'hiәrәnt]
adhesive [әd'hi:siv]
adjacent [ә'dʒeisәnt]
adjective ['ædʒiktiv]
adjoin [ә'dʒɒin]
adjoining [ә'dʒɒiniŋ]
adjourn [ә'dʒә:n]
adjudicate [ә'dʒu:dikeit]
adjunct ['ædʒʌŋkt]
adjust [ә'dʒʌst]
adjustable [ә'dʒʌstәbl]
adjusted [ә'dʒʌstid]
adjuster [ә'dʒʌstә]
adjustment [ә'dʒʌstmәnt]
administer [әd'ministә]
administration [әd.mini'streiʃәn]
administrative [әd'ministrәtiv]
administrator [әd'ministreitә]
admirable ['ædmәrәbl]
admirably ['ædmәrәbli]
admiral ['ædmәrәl]
admiration [.ædmә'reiʃәn]
admire [әd'maiә]
admirer [әd'maiәrә]
admiring [әd'maiәriŋ]
admission [әd'miʃәn]
admit [әd'mit]
admittedly [әd'mitidli]
admonish [әd'mɒniʃ]
admonition [.ædmәu'niʃәn]
adobe [ә'doubi]
adolescence [.ædәu'lesәns]
adolescent [.ædәu'lesәnt]
adopt [ә'dɒpt]
adopted [ә'dɒptid]
adoption [ә'dɒpʃәn]
adoptive [ә'dɒptiv]
adorable [ә'dɒ:rәbl]
adoration [.ædә'reiʃәn]
adore [ә'dɒ:]
adoring [ә'dɒ:riŋ]
adorn [ә'dɒ:n]
adornment [ә'dɒ:nmәnt]
adrift [ә'drift]
adulation [.ædju'leiʃәn]
adult ['ædʌlt]
adultery [ә'dʌltәri]
adulthood [ә'dʌlthud]
advance [әd'vɑ:ns]
advanced [әd'vɑ:nst]
advancement [әd'vɑ:nsmәnt]
advancing [æd'vɑ:nsiŋ]
advantage [әd'vɑ:ntidʒ]
advantageous [.ædvәn'teidʒәs]
advent ['ædvәnt]
adventure [әd'ventʃә]
adventurer [әd'ventʃәrә]
adventurous [әd'ventʃәrәs]
adversarial [,ædvә'seәriәl]
adversary ['ædvәsәri]
adverse ['ædvә:s]
adversity [әd'vә:sәti]
advertise ['ædvәtaiz]
advertisement [.ædvә'taizmәnt]
advertiser ['ædvәtaizә]
advertising ['ædvәtaiziŋ]
advice [әd'vais]
advisable [әd'vaizәbl]
advise [әd'vaiz]
adviser [әd'vaizә]
advisor [әd'vaizә]
advisory [әd'vaizәri]
advocacy ['ædvәkәsi]
advocate ['ædvәkeit]
aegis ['i:dʒis]
aerial ['єәriәl]
aerobic [єә'rәubik]
aerobics [.eiә'rәubiks]
aerodynamic [,eәrәudai'næmik]
aerosol ['єәrәusɒl]
aerospace ['єәrәuspeis]
aesthetic [i:s'θetik]
aesthetically [i:s'θetikәli]
aesthetics [i:s'θetiks]
afar [ә'fɑ:]
affable ['æfәbl]
affair [ә'fєә]
affect [ә'fekt]
affected [ә'fektid]
affection [ә'fekʃәn]
affectionate [ә'fekʃәnәt]
affectionately [ә'fekʃәnitli]
affective [ә'fektiv]
affidavit [.æfi'deivit]
affiliate [ә'filieit]
affiliated [ә'filieitid]
affiliation [ә.fili'eiʃәn]
affinity [ә'finiti]
affirm [ә'fә:m]
affirmation [.æfә'meiʃәn]
affirmative [ә'fә:mәtiv]
affix [ә'fiks]
afflict [ә'flikt]
affliction [ә'flikʃәn]
affluence ['æfluәns]
affluent ['æfluәnt]
afford [ә'fɒ:d]
affordability [əˌfɔdɚ'bɪlətɪ]
affront [ә'frʌnt]
aficionado [ә.fisjә'nɑ:dәu]
afield [ә'fi:ld]
afloat [ә'flәut]
afoot [ә'fut]
aforementioned [ә'fɒ:.menʃәnd]
afraid [ә'freid]
African ['æfrikәn]
Afro-American ['æfrәuә'merikәn]
aft [ɑ:ft]
after ['ɑ:ftә]
after-school ['ɑ:ftərsk'u:l]
afterlife ['ɑ:ftәlaif]
aftermath ['ɑ:ftәmæθ]
afternoon ['ɑ:ftә'nu:n]
aftershock ['ɑ:ftәʃɒk]
afterthought ['ɑ:ftәθɒ:t]
afterward ['ɑ:ftәwәd]
afterwards ['ɑ:ftәwәdz]
again [ә'gein]
against [ә'geinst]
age [eidʒ]
age-old ['eidʒәjld]
aged ['eidʒid]
agency ['eidʒәnsi]
agenda [ә'dʒendә]
agent ['eidʒәnt]
aggravate ['ægrәveit]
aggravated ['æɡrә.veitid]
aggregate ['ægrigәt]
aggregation [ægri'geiʃәn]
aggression [ә'greʃәn]
aggressive [ә'gresiv]
aggressor [ә'gresә]
aggrieved [ә'gri:vd]
aghast [ә'gɑ:st]
agile ['ædʒail]
agility [ә'dʒiliti]
aging ['eidʒiŋ]
agitate ['ædʒiteit]
agitated ['ædʒiteitid]
agitation [.ædʒi'teiʃәn]
ago [ә'gәu]
agonize ['ægәnaiz]
agonizing ['ægәnaiziŋ]
agony ['ægәni]
agrarian [ә'grєәriәn]
agree [ә'gri:]
agreeable [ә'griәbl]
agreed [ә'ɡri:d]
agreement [ә'gri:mәnt]
agribusiness ['ægri.bizinis]
agricultural [.ægri'kʌltʃәrәl]
agriculture ['ægrikʌltʃә]
ah [ɑ:]
aha [ɑ:'hɑ:]
ahead [ә'hed]
aid [eid]
aide [eid]
AIDS [eidz]
ail [eil]
ailing ['eiliŋ]
ailment ['eilmәnt]
aim [eim]
aimlessly ['eimlisli]
air [єә]
airborne ['єәbɒ:n]
aircraft ['єәkræft]
airfare ['εә.fεә]
airfield ['єәfi:ld]
airflow ['єәflәu]
airing ['єәriŋ]
airline ['єәlain]
airliner ['єәlainә]
airman ['єәmәn]
airplane ['єәplein]
airport ['єәpɒ:t]
airspace ['єәspeis]
airstrike ['er,straik]
airstrip ['єәstrip]
airtight ['єәtait]
airwaves ['eәweivz]
airway ['єәwei]
airy ['єәri]
aisle [ail]
ajar [ә'dʒɑ:]
akin [ә'kin]
alarm [ә'lɑ:m]
alarming [ә'lɑ:miŋ]
alarmingly [ ə'lɑːmɪŋli]
alas [ә'læs]
albeit [ɔ:l'bi:it]
album ['ælbәm]
alchemy ['ælkimi]
alcohol ['ælkәhɒl]
alcoholic [.ælkә'hɒlik]
alcoholism ['ælkәhɒlizәm]
alcove ['ælkәuv]
alderman ['ɒ:ldәmәn]
ale [eil]
alert [ә'lә:t]
alertness [ә'lә:tnis]
alfalfa [æl'fælfә]
algae ['ælgi:]
algebra ['ældʒibrә]
Algerian [æl'dʒiәriәn]
algorithm ['ælgәriðm]
alibi ['ælibai]
alien ['eiljәn]
alienate ['eiljәneit]
alienation [.eiljә'neiʃәn]
alight [ә'lait]
align [ә'lain]
alignment [ә'lainmәnt]
alike [ә'laik]
alive [ә'laiv]
all [ɒ:l]
all-day ['ɔ:l'dei]
all-important ['ɔ:lim'pɔ:tәnt]
all-star ['ɔ:lstɑ:(r)]
allay [ә'lei]
allegation [.æli'geiʃәn]
allege [ә'ledʒ]
alleged [ә'ledʒd]
allegedly [ә'ledʒidli]
allegiance [ә'li:dʒәns]
allegorical [.æli'gɒrikl]
allegory ['æligәri]
allergen ['ælәdʒәn]
allergic [ә'lә:dʒik]
allergy ['ælәdʒi]
alleviate [ә'li:vieit]
alley ['æli]
alleyway ['æliwei]
alliance [ә'laiәns]
allied [ә'laid]
alligator ['æligeitә]
allocate ['ælәukeit]
allocation [.ælәu'keiʃәn]
allot [ә'lɒt]
allotment [ә'lɒtmәnt]
allow [ә'lau]
allowable [ә'lauәbl]
allowance [ә'lauәns]
alloy "['ælɒi. ә'lɒi]"
allude [ә'lu:d]
allure [ә'luә]
alluring [ә'luәriŋ]
allusion [ә'lu:ʒәn]
ally "['ælai. ә'lai]"
almighty [ɒ:l'maiti]
almond ['ɑ:mәnd]
almost ['ɒ:lmәust]
aloft [ә'lɒft]
alone [ә'lәun]
along [ә'lɒŋ]
alongside [ә'lɒŋ'said]
aloof [ә'lu:f]
aloud [ә'laud]
alpha ['ælfә]
alphabet ['ælfәbit]
alpine ['ælpain]
already [ɒ:l'redi]
alright [ɔ:l'rait]
also ['ɒ:lsәu]
altar ['ɒ:ltә]
alter ['ɒ:ltә]
alteration [.ɒ:ltә'reiʃәn]
altercation [.ɒ:ltә'keiʃәn]
altered [ˈɔ:ltəd]
alternate ['ɒ:ltәnәt]
alternately ['ɒ:ltәnәtli]
alternative [ɒ:l'tә:nәtiv]
alternatively [ɒ:l'tә:nәtivli]
although [ɒ:l'ðou]
altitude ['æltitju:d]
altogether [.ɒ:ltә'geðә]
altruism ['æltruizm]
altruistic [.æltru'istik]
alum ['ælәm]
aluminum [ә'lu:minәm]
alumnus [ә'lʌmnәs]
always ['ɒ:lweiz]
AM [æm]
amalgam [ә'mælgәm]
amass [ә'mæs]
amateur ['æmәtә]
amaze [ә'meiz]
amazed [ә'meizd]
amazement [ә'meizmәnt]
amazing [ә'meiziŋ]
ambassador [æm'bæsәdә]
amber ['æmbә]
ambience ['æmbiәns]
ambient ['æmbiәnt]
ambiguity [.æmbi'gju:iti]
ambiguous [æm'bigjuәs]
ambition [æm'biʃәn]
ambitious [æm'biʃәs]
ambivalence [æm'bivәlәns]
ambivalent [æm'bivәlәnt]
amble ['æmbl]
ambulance ['æmbjulәns]
ambush ['æmbuʃ]
ameliorate [ә'mi:ljәreit]
amen [.ɑ:'men]
amenable [ә'mi:nәbl]
amend [ә'mend]
amendment [ә'mendmәnt]
amends [ә'mendz]
American [ә'merikәn]
Americanization [ә,merikәnai'zeiʃən;-ni'z-]
amiable ['eimjәbl]
amid [ә'mid]
amidst [ә'midst]
amino ['æminәu]
amiss [ә'mis]
ammo ['æmәu]
ammonia [ә'mәunjә]
ammunition [.æmju'niʃәn]
amnesia [æm'ni:zjә]
amnesty ['æmnisti]
amok [ә'mɔk]
among [ә'mʌŋ]
amongst [ә'mʌŋst]
amorous ['æmәrәs]
amorphous [ә'mɒ:fәs]
amount [ә'maunt]
amp [æmp]
amphetamine [æm'fetәmi:n]
amphibian [æm'fibiәn]
amphibious [æm'fibiәs]
amphitheater ['æmfi.θiәtә]
ample ['æmpl]
amplification [.æmplifi'keiʃәn]
amplifier ['æmplifaiә]
amplify ['æmplifai]
amplitude ['æmplitju:d]
amply ['æmpli]
amputate ['æmpjuteit]
amputation [.æmpju'teiʃәn]
amputee [.æmpju'ti:]
amulet ['æmjulit]
amuse [ә'mju:z]
amused [ә'mju:zd]
amusement [ә'mju:zmәnt]
amusing [ә'mju:ziŋ]
anachronism [ә'nækrәnizәm]
anachronistic [ә.nækrә'nistik]
anaerobic [.ænєә'rәubik]
anal ['einәl]
analog ['ænәlɔ^]
analogous [ә'nælәgәs]
analogy [ә'nælәdʒi]
analyse ['ænәlaiz]
analysis [ә'nælәsis]
analyst ['ænәlist]
analytic [.ænә'litik]
analytical [.ænә'litikl]
analyze ['ænәlaiz]
analyzer ['ænәlaizә]
anarchist ['ænәkist]
anarchy ['ænәki]
anathema [ә'næθәmә]
anatomical [.ænә'tɒmikl]
anatomy [ә'nætәmi]
ancestor ['ænsestә]
ancestral [æn'sestrәl]
ancestry ['ænsestri]
anchor ['æŋkә]
anchovy ['æntʃәvi]
ancient ['einʃәnt]
ancillary [æn'silәri]
and [ænd]
and/or [ˈænˈdɔ:]
anecdotal [,ænek'dәutl]
anecdote ['ænikdәut]
anemia [ә'ni:miә]
anemic [ә'ni:mik]
anesthesia [.ænis'θi:ziә]
anesthesiologist [,ænis,θizi'ɔlәdʒist]
aneurysm ['ænjuәrizm]
anew [ә'nju:]
angel ['eindʒәl]
angelic [æn'dʒelik]
anger ['æŋgә]
angle ['æŋgl]
angled ['æŋ^ld]
angler ['æŋ^lә]
Anglican ['æŋglikәn]
angling ['æŋgliŋ]
Anglo-American ['æn^lәuә'merikәn]
Anglo-Saxon ['æŋ^lәu'sæksәn]
angrily ['æŋgrili]
angry ['æŋgri]
angst [æŋst]
anguish ['æŋgwiʃ]
anguished ['æŋgwiʃt]
angular ['æŋgjulә]
animal ['ænimәl]
animate ['ænimeit]
animated ['ænimeitid]
animation [.æni'meiʃәn]
animosity [.æni'mɒsiti]
ankle ['æŋkl]
annal ['ænәl]
annex [ә'neks]
annexation [ænek'seiʃәn]
annihilate [ә'naiәleit]
annihilation [ә.naiә'leiʃәn]
anniversary [æni'vә:sәri]
announce [ә'nauns]
announcement [ә'naunsmәnt]
announcer [ә'naunsә]
annoy [ә'nɒi]
annoyance [ә'nɒiәns]
annoying [ә'nɒiiŋ]
annual ['ænjuәl]
annually ['ænjuәli]
annuity [ә'nju:iti]
anoint [ә'nɒint]
anomalous [ә'nɒmәlәs]
anomaly [ә'nɒmәli]
anonymity [.ænә'nimiti]
anonymous [ә'nɒnimәs]
anorexia [.ænә'reksiә]
another [ә'nʌðә]
answer ['ɑ:nsә]
ant [ænt]
antagonism [æn'tægәnizm]
antagonist [æn'tægәnist]
antagonistic [æn.tægә'nistik]
antagonize [æn'tægәnaiz]
antebellum [.ænti'belәm]
antecedent [.ænti'si:dnt]
antelope ['æntilәup]
antenna [æn'tenә]
anterior [æn'tiәriә]
anthem ['ænθәm]
anthology [æn'θɒlәdʒi]
anthrax ['ænθræks]
anthropological [.ænθrәpә'lɒdʒikl]
anthropologist [.ænθrә'pɒlәdʒist]
anthropology [.ænθrә'pɒlәdʒi]
anti ['ænti]
anti-abortion [,ænti:ə'bɔ:ʃən]
anti-aircraft "[ˈænti ˈɛəkrɑ:ft]"
anti-American [,æntiә'merikәn]
anti-communist ['ænti'kɔmjunist]
anti-depressant ['ænti:dɪpr'esænt]
anti-war ['ænti'wɔ:]
antibiotic [.æntibai'ɒtik]
antibody ['æntibɒdi]
anticipate [æn'tisipeit]
anticipation [æn.tisi'peiʃәn]
antics ['æntiks]
antidote ['æntidәut]
antigen ['æntidʒәn]
antioxidant [.ænti'ɒksidәnt]
antipathy [æn'tipәθi]
antiquated ['æntikweitid]
antique [æn'ti:k]
antiquity [æn'tikwәti]
antiseptic [.ænti'septik]
antisocial [.ænti'sәuʃәl]
antithesis [æn'tiθisis]
antithetical [.ænti'θetik.-kәl]
antler ['æntlә]
anvil ['ænvil]
anxiety [æŋ'zaiәti]
anxious ['æŋʃәs]
anxiously ['æŋʃәsli]
any ['eni]
anybody ['enibɒdi]
anyhow ['enihau]
anymore ['eni'mɔ:]
anyone ['eniwʌn]
anyplace ['enipleis]
anything ['eniθiŋ]
anyway ['eniwei]
anywhere ['enihwєә]
Apache [ә'pætʃi]
apart [ә'pɑ:t]
apartheid [ә'pɑ:theit]
apartment [ә'pɑ:tmәnt]
apathy ['æpәθi]
ape [eip]
aperture ['æpә.tjuә]
apex ['eipeks]
aphid ['eifid]
apiece [ә'pi:s]
apnea [æp'ni:ә]
apocalypse [ә'pɒkәlips]
apocalyptic [ә.pɒkә'liptik]
apolitical [.eipә'litikl]
apologetic [ә.pɒlә'dʒetik]
apologetically [ә.pɒlә'dʒetikli]
apologist [ә'pɒlәdʒist]
apologize [ә'pɒlәdʒaiz]
apology [ә'pɒlәdʒi]
apostle [ә'pɒsl]
apostolic [,æpәs'tɔlik]
appal [ә'pɒ:l]
Appalachian [,æpə'leitʃjən]
appalled [ə'pɔ:ld]
appalling [ә'pɒ:liŋ]
apparatus [.æpә'reitәs]
apparel [ә'pærәl]
apparent [ә'pærәnt]
apparently [ә'pærәntli]
apparition [.æpә'riʃәn]
appeal [ә'pi:l]
appealing [ә'pi:liŋ]
appear [ә'piә]
appearance [ә'piәrәns]
appease [ә'pi:z]
appellate [ә'pelit]
appendage [ә'pendidʒ]
appendix [ә'pendiks]
appetite ['æpitait]
appetizer ['æpitaizә]
applaud [ә'plɒ:d]
applause [ә'plɒ:z]
apple ['æpl]
appliance [ә'plaiәns]
applicability [.æplikә'biliti]
applicable ['æplikәbl]
applicant ['æplikәnt]
application [.æpli'keiʃәn]
applied [ә'plaid]
apply [ә'plai]
appoint [ә'pɒint]
appointed [ә'pɔintid]
appointee [ә.pɒin'ti:]
appointment [ә'pɒintmәnt]
appraisal [ә'preizәl]
appraise [ә'preiz]
appraiser [ә'preizә]
appreciate [ә'pri:ʃieit]
appreciation [ә.pri:ʃi'eiʃәn]
appreciative [ә'pri:ʃiәtiv]
apprehend [.æpri'hend]
apprehension [.æpri'henʃәn]
apprehensive [.æpri'hensiv]
apprentice [ә'prentis]
apprenticeship [ә'prentisʃip]
approach [ә'prәutʃ]
appropriate [ә'prәupriәt]
appropriateness [ə'prəupriətnis]
appropriation [әprәupri'eiʃәn]
approval [ә'pru:vl]
approve [ә'pru:v]
approved [ә'pru:vd]
approvingly [әp'ru:viŋli]
approximate [ә'prɒksimәt]
approximately [ә'prɒksimәtli]
approximation [ә.prɒksi'meiʃәn]
apricot ['eiprikɒt]
apron ['eiprәn]
apt [æpt]
aptitude ['æptitju:d]
aptly ['æptli]
aquaculture ['ækwә.kʌltʃә]
aquarium [ә'kwєәriәm]
aquatic [ә'kwætik]
aquifer ['ækwifә]
Arab ['ærәb]
Arabian [ә'reibiәn]
Arabic ['ærәbik]
arbiter ['ɑ:bitә]
arbitrarily ['ɑ:bitrәrili]
arbitrary ['ɑ:bitrәri]
arbitration [.ɑ:bi'treiʃәn]
arbitrator ['ɑ:bitreitә]
arbor ['ɑ:bә]
arc [ɑ:k]
arcade [ɑ:'keid]
arcane [ɑ:'kein]
arch [ɑ:tʃ]
archaeological [.ɑ:kiә'lɒdʒikl]
archaeologist [.ɑ:ki'ɒlәdʒist]
archaeology [.ɑ:ki'ɒlәdʒi]
archaic [ɑ:'keiik]
archbishop ['ɑ:tʃ'biʃәp]
archdiocese [.ɑ:tʃ'daiәsis]
arched [ɑ:tʃt]
archer ['ɑ:tʃә]
archetypal ['ɑ:kitaipl]
archetype ['ɑ:tʃtaip]
archipelago [.ɑ:ki'pelәgәu]
architect ['ɑ:kitekt]
architectural [.ɑ:ki'tektʃәrәl]
architecture ['ɑ:kitektʃә]
archival "[ɑ: 'kaivәl]"
archive ['ɑ:kaiv]
archway ['ɑ:tʃwei]
ardent ['ɑ:dnt]
arduous ['ɑ:djuәs]
area ['єәriә]
arena [ә'ri:nә]
arguably ['ɑ:ɡjuәbli]
argue ['ɑ:gju]
argument ['ɑ:gjumәnt]
aria ['ɑ:riә]
arid ['ærid]
arise [ә'raiz]
aristocracy [.æri'stɒkrәsi]
aristocrat ['æristәkræt]
aristocratic [æristә'krætik]
arithmetic [ә'riθmәtik]
ark [ɑ:k]
arm [ɑ:m]
armament ['ɑ:mәmәnt]
armchair [.ɑ:m'tʃєә]
armed [ɑ:md]
Armenian [ɑ:'mi:njәn]
armor ['ɑ:mә]
armored ['ɑ:mәd]
armpit ['ɑ:mpit]
army ['ɑ:mi]
aroma [ә'rәumә]
aromatic [.ærәu'mætik]
around [ә'raund]
arousal [ә'rauzl]
arouse [ә'rauz]
arrange [ә'reindʒ]
arrangement [ә'reindʒmәnt]
array [ә'rei]
arrest [ә'rest]
arrival [ә'raivl]
arrive [ә'raiv]
arrogance ['ærәgәns]
arrogant ['ærәɡәnt]
arrow ['ærәu]
arsenal ['ɑ:snәl]
arsenic ['ɑ:sәnik]
arson ['ɑ:sәn]
art [ɑ:t]
arterial [ɑ:'tiәriәl]
artery ['ɑ:tәri]
artful ['ɑ:tful]
arthritic [ɑ:'θritik]
arthritis [ɑ:'θraitis]
artichoke ['ɑ:titʃәuk]
article ['ɑ:tikl]
articulate [ɑ:'tikjulit]
articulated [ɑ:'tikju:leitid]
articulation [ɑ:.tikju'leiʃәn]
artifact ['ɑ:tifækt]
artifice ['ɑ:tifis]
artificial [.ɑ:ti'fiʃәl]
artificially [.ɑ:ti'fiʃәli]
artillery [ɑ:'tilәri]
artisan [.ɑ:ti'zæn]
artist ['ɑ:tist]
artistic [ɑ:'tistik]
artistically [ɑ:'tistikli]
artistry ['ɑ:tistri]
artwork ['ɑ:twә:k]
arugula [ә'ru:^әlә]
Aryan ['єәriәn]
as [æz]
asbestos [æs'bestɒs]
ascend [ә'send]
ascendancy [ә'sendәnsi]
ascending [ә'sendiŋ]
ascension [ә'senʃәn]
ascent [ә'sent]
ascertain [.æsә'tein]
ascetic [ә'setik]
ASCII ['æski]
ascribe [ә'skraib]
ash [æʃ]
ashamed [ә'ʃeimd]
ashore [ә'ʃɒ:]
ashtray ['æʃtrei]
Asian ['eiʃәn]
Asian-American "[,eiʃənə'merikən; 'ei-]"
aside [ә'said]
ask [ɑ:sk]
askew [ә'skju:]
asking ['ɑ:skiŋ]
asleep [ә'sli:p]
asparagus [ә'spærәgәs]
aspect ['æspekt]
aspen ['æspәn]
asphalt ['æsfælt]
aspiration [.æspә'reiʃәn]
aspire [ә'spaiә]
aspirin ['æspәrin]
aspiring [ә'spaiәriŋ]
ass [æs]
assail [ә'seil]
assailant [ә'seilәnt]
assassin [ә'sæsin]
assassinate [ә'sæsineit]
assassination [ә.sæsi'neiʃәn]
assault [ә'sɒ:t]
assay [ә'sei]
assemblage [ә'semblidʒ]
assemble [ә'sembl]
assembled [ә'sembәld]
assembly [ә'sembli]
assent [ә'sent]
assert [ә'sә:t]
assertion [ә'sә:ʃәn]
assertive [ә'sә:tiv]
assertiveness [ə'sə:tivnis]
assess [ә'ses]
assessment [ә'sesmәnt]
assessor [ә'sesә]
asset ['æset]
asshole ['æshәul]
assign [ә'sain]
assignment [ә'sainmәnt]
assimilate [ә'simileit]
assimilation [ә.simi'leiʃәn]
assist [ә'sist]
assistance [ә'sistәns]
assistant [ә'sistәnt]
assisted [əˈsistid]
assistive [ə'sɪstɪv]
associate [ә'sәuʃieit]
association [ә.sәuʃә'eiʃәn]
assorted [ә'sɒ:tid]
assortment [ә'sɒ:tmәnt]
assuage [ә'sweidʒ]
assume [ә'sju:m]
assumed [ә'sju:md]
assumption [ә'sʌmpʃәn]
assurance [ә'ʃuәrәns]
assure [ә'ʃuә]
assured [ә'ʃuәd]
asterisk ['æstәrisk]
asteroid ['æstәrɒid]
asthma ['æsmә]
astonish [ә'stɒniʃ]
astonishing [ә'stɒniʃiŋ]
astonishingly [ə'stɔniʃiŋli]
astonishment [ә'stɒniʃmәnt]
astound [ә'staund]
astounded [ə'staundid]
