word phonetic definition
absurdity [әb'sә:diti] "n. a message whose content is at variance with reason\nn. a ludicrous folly"
absurdly [әb'sә:dli] "r. in an absurd manner or to an absurd degree"
abundance [ә'bʌndәns] "n. the property of a more than adequate quantity or supply\nn. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present\nn. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million"
abundant [ә'bʌndәnt] "a. present in great quantity"
abundantly [ә'bʌndәntli] "r. in an abundant manner"
abuse [ә'bju:s.ә'bju:z] "n. a rude expression intended to offend or hurt\nv. use foul or abusive language towards\nv. use wrongly or improperly or excessively"
abusive [ә'bju:siv] "s. expressing offensive reproach\ns. characterized by physical or psychological maltreatment"
abut [ә'bʌt] "v lie adjacent to another or share a boundary"
abysmal [ә'bizmәl] "s. very great; limitless\ns. resembling an abyss in depth; so deep as to be unmeasurable"
abyss [ә'bis] "n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)"
academia [.ækә'di:miә] "n. the academic world"
academic [.ækә'demik] "a. associated with academia or an academy\ns. hypothetical or theoretical and not expected to produce an immediate or practical result\ns. marked by a narrow focus on or display of learning especially its trivial aspects"
academically [.ækә'demikәli] "r. in regard to academic matters"
academy [ә'kædәmi] "n. a secondary school (usually private)\nn. an institution for the advancement of art or science or literature\nn. a school for special training\nn. a learned establishment for the advancement of knowledge"
accede [æk'si:d] "v. take on duties or office"
accelerate [әk'selәreit] "v. move faster\nv. cause to move faster"
accelerated [әk'selәreitid] "s. speeded up, as of an academic course"
accelerating [æk'selәreitiŋ] "v move faster\nv cause to move faster"
acceleration [әk.selә'reiʃәn] "n. an increase in rate of change\nn. the act of accelerating; increasing the speed\nn. (physics) a rate of increase of velocity"
accelerator [әk'selәreitә] "n. a pedal that controls the throttle valve\nn. a valve that regulates the supply of fuel to the engine\nn. a scientific instrument that increases the kinetic energy of charged particles"
accent ['æksәnt] "n. distinctive manner of oral expression\nn. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
accentuate [æk'sentjueit] "v to stress, single out as important\nv put stress on; utter with an accent"
accept [әk'sept] "v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper"
acceptability [әk.septә'biliti] "n. satisfactoriness by virtue of conforming to approved standards"
acceptable [әk'septәbl] "a. worthy of acceptance or satisfactory\ns. judged to be in conformity with approved usage\ns. adequate for the purpose"
acceptance [әk'septәns] "n. the state of being acceptable and accepted\nn. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)\nn. banking: a time draft drawn on and accepted by a bank\nn. the act of taking something that is offered"
accepted [әk'septid] "s. generally approved or compelling recognition"
access ['ækses] "n. the right to obtain or make use of or take advantage of something (as services or membership)\nn. a way of entering or leaving\nn. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)\nn. (computer science) the operation of reading or writing stored information"
accessibility [әk.sesә'biliti] "n the quality of being at hand when needed\nn the attribute of being easy to meet or deal with"
accessible [әk'sesәbl] "a. capable of being reached\ns. capable of being read with comprehension\ns. easily obtained\ns. easy to get along with or talk to; friendly"
accession [æk'seʃәn] "n. a process of increasing by addition (as to a collection or group)\nn. (civil law) the right to all of that which your property produces whether by growth or improvement\nn. something added to what you already have"
accessory [әk'sesәri] "n. clothing that is worn or carried, but not part of your main clothing\nn. a supplementary component that improves capability\nn. someone who helps another person commit a crime\ns. furnishing added support"
accident ['æksidәnt] "n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause"
accidental [.æksi'dentl] "n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature\ns. happening by chance or unexpectedly or unintentionally"
accidentally [.æksi'dentli] "r without advance planning\nr of a minor or subordinate nature\nr without intention; in an unintentional manner"
acclaim [ә'kleim] "n. enthusiastic approval\nv. praise vociferously"
acclaimed [ə'kleɪmd] "v praise vociferously\nv clap one's hands or shout after performances to indicate approval"
accolade [.ækәu'leid] "n a tangible symbol signifying approval or distinction"
accommodate [ә'kɒmәdeit] "v. provide with something desired or needed\nv. have room for; hold without crowding\nv. make (one thing) compatible with (another)"
accommodation [ә.kɒmә'deiʃәn] "n. a settlement of differences\nn. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality\nn. living quarters provided for public convenience\nn. the act of providing something (lodging or seat or food) to meet a need"
accompaniment [ә'kʌmpәnimәnt] "n. an event or situation that happens at the same time as or in connection with another\nn. a musical part (vocal or instrumental) that supports or provides background for other musical parts"
accompany [ә'kʌmpәni] "v. go or travel along with"
accomplice [ә'kʌmplis] "n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)"
accomplish [ә'kʌmpliʃ] "v put in effect\nv to gain with effort"
accomplished [ә'kʌmpliʃt] "s. highly skilled\ns. successfully completed or brought to an end\ns. settled securely and unconditionally"
accomplishment [ә'kʌmpliʃmәnt] "n. the action of accomplishing something"
accord [ә'kɒ:d] "n. concurrence of opinion\nn. sympathetic compatibility\nv. allow to have"
accordance [ә'kɒ:dәns] "n. the act of granting rights"
according [ә'kɒ:diŋ] "s. (followed by `to') in agreement with or accordant with\ns. (followed by `to') as reported or stated by"
accordingly [ә'kɒ:diŋli] "r. in accordance with"
accordion [ә'kɒ:djәn] "n. a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player"
accost [ә'kɒst] "v speak to someone\nv approach with an offer of sexual favors"
account [ә'kaunt] "n. a formal contractual relationship established to provide for regular banking or brokerage or business services\nn. importance or value\nn. a statement of recent transactions and the resulting balance\nn. the quality of taking advantage"
accountability [ә.kauntә'biliti] "n. responsibility to someone or for some activity"
accountable [ә'kauntәbl] "s. liable to account for one's actions"
accountant [ә'kauntәnt] "n. someone who maintains and audits business accounts"
accounting [ә'kauntiŋ] "n. a convincing explanation that reveals basic causes\nn. a system that provides quantitative information about finances\nn. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
accredit [ә'kredit] "v. grant credentials to\nv. provide or send (envoys or embassadors) with official credentials\nv. ascribe an achievement to"
accreditation [ә.kredi'teiʃәn] "n. the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)"
accredited [ә'kreditid] "s. given official approval to act"
accretion [æ'kri:ʃәn] "n. an increase by natural growth or addition\nn. something contributing to growth or increase\nn. (astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases"
accrue [ә'kru:] "v. grow by addition\nv. come into the possession of"
acculturation [ә.kʌltʃә'reiʃәn] "n. all the knowledge and values shared by a society\nn. the process of assimilating new ideas into an existing cognitive structure"
accumulate [ә'kju:mjuleit] "v. collect or gather"
accumulation [ә.kju:mju'leiʃәn] "n. the act of accumulating\nn. (finance) profits that are not paid out as dividends but are added to the capital base of the corporation"
accuracy ['ækjurәsi] "n. the quality of being near to the true value\nn. (mathematics) the number of significant figures given in a number"
accurate ['ækjurәt] "a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accurately ['ækjurәtli] "r. with few mistakes\nr. strictly correctly"
accusation [ækju:'zeiʃәn] "n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt\nn. an assertion that someone is guilty of a fault or offence"
accuse [ә'kju:z] "v. bring an accusation against; level a charge against"
accused [ә'kju:zd] "n. a defendant in a criminal proceeding"
accuser [ә'kju:zә] "n. someone who imputes guilt or blame"
accustom [ә'kʌstәm] "v make psychologically or physically used (to something)"
accustomed [ә'kʌstәmd] "a. (often followed by `to') in the habit of or adapted to\ns. commonly used or practiced; usual"
ace [eis] "n. one of four playing cards in a deck having a single pip on its face\nn. someone who is dazzlingly skilled in any field\nn. a serve that the receiver is unable to reach\nv. score an ace against"
ache [eik] "n. a dull persistent (usually moderately intense) pain\nv. have a desire for something or someone who is not present\nv. be the source of pain"
achievable [ә'tʃi:vәbl] "s capable of existing or taking place or proving true; possible to do"
achieve [ә'tʃi:v] "v. to gain with effort"
achievement [ә'tʃi:vmәnt] "n the action of accomplishing something"
achiever [ә'tʃi:vә] "n. a person with a record of successes"
aching ['eikiŋ] "s. causing a dull and steady pain"
acid ['æsid] "n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid"
acidic [ә'sidik] "a. being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)\ns. being sour to the taste"
acidity [ә'siditi] "n. the taste experience when something acidic is taken into the mouth\nn. pH values below 7"
acknowledge [әk'nɒlidʒ] "v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority"
acknowledged [әk'nɒlidʒid] "a. recognized or made known or admitted\ns. generally accepted"
acknowledgement [әk'nɒlidʒmәnt] "n the state or quality of being recognized or acknowledged\nn a statement acknowledging something or someone"
acknowledgment [әk'nɔlidʒmәnt] "n. a statement acknowledging something or someone"
acne ['ækni] "n. an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones"
acorn ['eikɒ:n] "n. fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base"
acoustic [ә'ku:stik] "n. a remedy for hearing loss or deafness\na. of or relating to the science of acoustics"
acquaint [ә'kweint] "v. inform"
acquaintance [ә'kweintәns] "n. personal knowledge or information about someone or something\nn. a relationship less intimate than friendship\nn. a person with whom you are acquainted"
acquiesce [.ækwi'es] "v to agree or express agreement"
acquiescence [.ækwi'esәns] "n. acceptance without protest"
acquire [ә'kwaiә] "v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts"
acquired [ә'kwaiәd] "s. gotten through environmental forces"
acquisition [.ækwi'ziʃәn] "n. the act of contracting or assuming or acquiring possession of something\nn. something acquired"
acquit [ә'kwit] "v. pronounce not guilty of criminal charges"
acquittal [ә'kwitәl] "n. a judgment of not guilty"
acreage ['eikәridʒ] "n. an area of ground used for some particular purpose (such as building or farming)"
acrid ['ækrid] "s strong and sharp\ns harsh or corrosive in tone"
acrobat ['ækrәbæt] "n. an athlete who performs acts requiring skill and agility and coordination"
acronym ['ækrәunim] "n. a word formed from the initial letters of the several words in the name"
across [ә'krɒs] "r. to the opposite side\nr. transversely"
acrylic [ә'krilik] "n. a glassy thermoplastic; can be cast and molded or used in coatings and adhesives\nn. used especially by artists\nn. a synthetic fabric"
act [ækt] "n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program"
acting ['æktiŋ] "n. the performance of a part or role in a drama\ns. serving temporarily especially as a substitute"
action ['ækʃәn] "n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful"
activate ['æktiveit] "v. make active or more active\nv. make more adsorptive\nv. aerate (sewage) so as to favor the growth of organisms that decompose organic matter\nv. make (substances) radioactive"
activation [ækti'veiʃәn] "n. stimulation of activity in an organism or chemical\nn. making active and effective (as a bomb)"
active ['æktiv] "n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change"
actively ['æktivli] "r. in an active manner"
activism ['æktivizm] "n. a policy of taking direct and militant action to achieve a political or social goal"
activist ['æktivist] "s. advocating or engaged in activism"
activity [æk'tiviti] "n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction"
actor ['æktә] "n. a theatrical performer\nn. a person who acts and gets things done"
actress ['æktris] "n. a female actor"
actual ['æktʃuәl] "a. presently existing in fact and not merely potential or possible\ns. taking place in reality; not pretended or imitated\ns. being or reflecting the essential or genuine character of something\ns. existing in act or fact"
actuality [.æktʃu'æliti] "n. the state of actually existing objectively"
actually ['æktʃuәli] "r. in actual fact\nr. used to imply that one would expect the fact to be the opposite of that stated; surprisingly\nr. at the present moment\nr. as a sentence modifier to add slight emphasis"
actuator ['æktʃueitә] "n. a mechanism that puts something into automatic action"
acuity [ә'kju:әti] "n. sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)"
acumen [ә'kju:men] "n. a tapering point"
acupuncture ['ækju.pʌŋktʃә] "n. treatment of pain or disease by inserting the tips of needles at specific points on the skin"
acute [ә'kju:t] "a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees"
acutely [ә'kju:tli] "r. in an acute manner\nr. having a rapid onset"
ad [æd] "n. a public promotion of some product or service\nr. in the Christian era; used before dates after the supposed year Christ was born"
adage ['ædidʒ] "n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people"
adamant ['ædәmәnt] "s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adapt [ә'dæpt] "v. make fit for, or change to suit a new purpose"
adaptability [ә.dæptә'biliti] "n. the ability to change (or be changed) to fit changed circumstances"
adaptable [ә'dæptәbl] "a. capable of adapting (of becoming or being made suitable) to a particular situation or use"
adaptation [.ædæp'teiʃәn] "n. a written work (as a novel) that has been recast in a new form\nn. the process of adapting to something (such as environmental conditions)\nn. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
adapter [ә'dæptә] "n. device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible"
adaptive [ә'dæptiv] "a. having a capacity for adaptation"
add [æd] "v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition"
added ['ædid] "v make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv state or say further\nv bestow a quality on\nv make an addition by combining numbers\nv determine the sum of\nv constitute an addition"
addict [ә'dikt] "n. someone who is so ardently devoted to something that it resembles an addiction\nn. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms\nv. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
addiction [ә'dikʃәn] "n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)\nn. an abnormally strong craving\nn. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master"
addictive [ә'diktiv] "a. causing or characterized by addiction"
addition [ә'diʃәn] "n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area"
additional [ә'diʃәnәl] "s further or added"
additive ['æditiv] "n. something added to enhance food or gasoline or paint or medicine\na. characterized or produced by addition"
address [ә'dres] "n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual"
adept [ә'dept] "s. having or showing knowledge and skill and aptitude"
adequacy ['ædikwәsi] "n. the quality of being able to meet a need satisfactorily: ""he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"""
adequate ['ædikwәt] "a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable"
adequately ['ædikwәtli] "r. in an adequate manner or to an adequate degree"
adhere [әd'hiә] "v. be compatible or in accordance with\nv. follow through or carry out a plan without deviation\nv. be a devoted follower or supporter\nv. stick to firmly"
adherence [әd'hiәrәns] "n faithful support for a cause or political party or religion\nn the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
adherent [әd'hiәrәnt] "s. sticking fast"
adhesive [әd'hi:siv] "a. tending to adhere"
adjacent [ә'dʒeisәnt] "s. nearest in space or position; immediately adjoining without intervening space\ns. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""\ns. near or close to but not necessarily touching"
adjective ['ædʒiktiv] "n. a word that expresses an attribute of something\nn. the word class that qualifies nouns\na. relating to court practice and procedure as opposed to the principles of law"
adjoin [ә'dʒɒin] "v. attach or add"
adjoining [ә'dʒɒiniŋ] "v lie adjacent to another or share a boundary\nv be in direct physical contact with; make contact\nv attach or add"
adjourn [ә'dʒә:n] "v. close at the end of a session\nv. break from a meeting or gathering"
adjudicate [ә'dʒu:dikeit] "v put on trial or hear a case and sit as the judge at the trial of\nv bring to an end; settle conclusively"
adjunct ['ædʒʌŋkt] "n. something added to another thing but not an essential part of it\nn. a person who is an assistant or subordinate to another\nn. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
adjust [ә'dʒʌst] "v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim"
adjustable [ә'dʒʌstәbl] "s. capable of being changed so as to match or fit\ns. capable of being regulated"
adjusted [ә'dʒʌstid] "a. altered to accommodate to certain requirements or bring into a proper relation\na. adjusted to demands of daily living; showing emotional stability\ns. having achieved a comfortable relation with your environment"
adjuster [ә'dʒʌstә] "n. one who investigates insurance claims or claims for damages and recommends an effective settlement"
adjustment [ә'dʒʌstmәnt] "n. making or becoming suitable; adjusting to circumstances\nn. the act of adjusting something to match a standard"
administer [әd'ministә] "v. work in an administrative capacity; supervise or be in charge of\nv. perform (a church sacrament) ritually\nv. give or apply (medications)\nv. direct the taking of"
administration [әd.mini'streiʃәn] "n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)\nn. the persons (or committees or departments etc.) who make up a body for the purpose of administering something\nn. the act of administering medication\nn. the act of meting out justice according to the law"
administrative [әd'ministrәtiv] "a. of or relating to or responsible for administration"
administrator [әd'ministreitә] "n. someone who administers a business\nn. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor\nn. someone who manages a government agency or department"
admirable ['ædmәrәbl] "s. deserving of the highest esteem or admiration\ns. inspiring admiration or approval"
admirably ['ædmәrәbli] "r. in an admirable manner"
admiral ['ædmәrәl] "n. the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral\nn. any of several brightly colored butterflies"
admiration [.ædmә'reiʃәn] "n. a feeling of delighted approval and liking\nn. a favorable judgment"
admire [әd'maiә] "v. feel admiration for\nv. look at with admiration"
admirer [әd'maiәrә] "n. a person who admires; someone who esteems or respects or approves\nn. someone who admires a young woman"
admiring [әd'maiәriŋ] "v feel admiration for\nv look at with admiration"
admission [әd'miʃәn] "n. the act of admitting someone to enter\nn. an acknowledgment of the truth of something"
admit [әd'mit] "v. declare to be true or admit the existence or reality or truth of\nv. allow to enter; grant entry to\nv. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\nv. afford possibility"
admittedly [әd'mitidli] "r as acknowledged"
admonish [әd'mɒniʃ] "v. take to task"
admonition [.ædmәu'niʃәn] "n. cautionary advice about something imminent (especially imminent danger or other unpleasantness)\nn. a firm rebuke"
adobe [ә'doubi] "n. the clay from which adobe bricks are made\nn. sun-dried brick; used in hot dry climates"
adolescence [.ædәu'lesәns] "n. the time period between the beginning of puberty and adulthood\nn. in the state that someone is in between puberty and adulthood"
adolescent [.ædәu'lesәnt] "n. a juvenile between the onset of puberty and maturity\na. relating to or peculiar to or suggestive of an adolescent\ns. being of the age 13 through 19\ns. displaying or suggesting a lack of maturity"
adopt [ә'dɒpt] "v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family"
adopted [ә'dɒptid] "a. acquired as your own by free choice"
adoption [ә'dɒpʃәn] "n. the act of accepting with approval; favorable reception\nn. a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)"
adoptive [ә'dɒptiv] "a. of parents and children; related by adoption"
adorable [ә'dɒ:rәbl] "s. lovable especially in a childlike or naive way"
adoration [.ædә'reiʃәn] "n. the act of admiring strongly\nn. the worship given to God alone"
adore [ә'dɒ:] "v. love intensely"
adoring [ә'dɒ:riŋ] "s. showing adoration\ns. extravagantly or foolishly loving and indulgent"
adorn [ә'dɒ:n] "v make more attractive by adding ornament, colour, etc.\nv be beautiful to look at\nv furnish with power or authority; of kings or emperors"
adornment [ә'dɒ:nmәnt] "n. a decoration of color or interest that is added to relieve plainness\nn. the action of decorating yourself with something colorful and interesting"
adrift [ә'drift] "s. aimlessly drifting\ns. afloat on the surface of a body of water\nr. floating freely; not anchored\nr. off course, wandering aimlessly"
adulation [.ædju'leiʃәn] "n. servile flattery; exaggerated and hypocritical praise"
adult ['ædʌlt] "n. a fully developed person from maturity onward\nn. any mature animal\ns. (of animals) fully developed"
adultery [ә'dʌltәri] "n. extramarital sex that willfully and maliciously interferes with marriage relations"
adulthood [ә'dʌlthud] "n. the period of time in your life after your physical growth has stopped and you are fully developed\nn. the state (and responsibilities) of a person who has attained maturity"
advance [әd'vɑ:ns] "n. an amount paid before it is earned\nn. increase in price or value\nv. move forward, also in the metaphorical sense\nv. bring forward for consideration or acceptance"
advanced [әd'vɑ:nst] "s. farther along in physical or mental development\ns. comparatively late in a course of development\ns. ahead of the times\ns. at a higher level in training or knowledge or skill"
advancement [әd'vɑ:nsmәnt] "n. gradual improvement or growth or development"
advancing [æd'vɑ:nsiŋ] "s. moving forward"
advantage [әd'vɑ:ntidʒ] "n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to"
advantageous [.ædvәn'teidʒәs] "a. giving an advantage\ns. appropriate for achieving a particular end; implies a lack of concern for fairness"
advent ['ædvәnt] "n. arrival that has been awaited (especially of something momentous)\nn. the season including the four Sundays preceding Christmas"
